Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,heatingReturnTemperature[C],heatingSupplyTemperature[C],massFlowRateHeating,ChilledWaterReturnTemperature[C],ChilledWaterSupplyTemperature[C],massFlowRateCooling
01/01/2006 20:50,1,1,0,20,50,75000,0,0,0,0,0,0
01/01/2006 21:00,1,1,0,21,0,75600,0,0,0,0,0,0
01/01/2006 21:10,1,1,0,21,10,76200,0,0,0,0,0,0
01/01/2006 21:20,1,1,0,21,20,76800,0,0,0,0,0,0
01/01/2006 21:30,1,1,0,21,30,77400,0,0,0,0,0,0
01/01/2006 21:40,1,1,0,21,40,78000,0,0,0,0,0,0
01/01/2006 21:50,1,1,0,21,50,78600,0,0,0,0,0,0
01/01/2006 22:00,1,1,0,22,0,79200,0,0,0,0,0,0
01/01/2006 22:10,1,1,0,22,10,79800,0,0,0,0,0,0
01/01/2006 22:20,1,1,0,22,20,80400,0,0,0,0,0,0
01/01/2006 22:30,1,1,0,22,30,81000,0,0,0,0,0,0
01/01/2006 22:40,1,1,0,22,40,81600,0,0,0,0,0,0
01/01/2006 22:50,1,1,0,22,50,82200,0,0,0,0,0,0
01/01/2006 23:00,1,1,0,23,0,82800,0,0,0,0,0,0
01/01/2006 23:10,1,1,0,23,10,83400,0,0,0,0,0,0
01/01/2006 23:20,1,1,0,23,20,84000,0,0,0,0,0,0
01/01/2006 23:30,1,1,0,23,30,84600,0,0,0,0,0,0
01/01/2006 23:40,1,1,0,23,40,85200,0,0,0,0,0,0
01/01/2006 23:50,1,1,0,23,50,85800,0,0,0,0,0,0
01/02/2006 00:00,1,2,1,0,0,86400,0,0,0,0,0,0
01/02/2006 00:10,1,2,1,0,10,87000,0,0,0,0,0,0
01/02/2006 00:20,1,2,1,0,20,87600,0,0,0,0,0,0
01/02/2006 00:30,1,2,1,0,30,88200,0,0,0,0,0,0
01/02/2006 00:40,1,2,1,0,40,88800,0,0,0,0,0,0
01/02/2006 00:50,1,2,1,0,50,89400,0,0,0,0,0,0
01/02/2006 01:00,1,2,1,1,0,90000,0,0,0,0,0,0
01/02/2006 01:10,1,2,1,1,10,90600,0,0,0,0,0,0
01/02/2006 01:20,1,2,1,1,20,91200,0,0,0,0,0,0
01/02/2006 01:30,1,2,1,1,30,91800,0,0,0,0,0,0
01/02/2006 01:40,1,2,1,1,40,92400,0,0,0,0,0,0
01/02/2006 01:50,1,2,1,1,50,93000,0,0,0,0,0,0
01/02/2006 02:00,1,2,1,2,0,93600,0,0,0,0,0,0
01/02/2006 02:10,1,2,1,2,10,94200,0,0,0,0,0,0
01/02/2006 02:20,1,2,1,2,20,94800,0,0,0,0,0,0
01/02/2006 02:30,1,2,1,2,30,95400,0,0,0,0,0,0
01/02/2006 02:40,1,2,1,2,40,96000,0,0,0,0,0,0
01/02/2006 02:50,1,2,1,2,50,96600,0,0,0,0,0,0
01/02/2006 03:00,1,2,1,3,0,97200,0,0,0,0,0,0
01/02/2006 03:10,1,2,1,3,10,97800,0,0,0,0,0,0
01/02/2006 03:20,1,2,1,3,20,98400,0,0,0,0,0,0
01/02/2006 03:30,1,2,1,3,30,99000,0,0,0,0,0,0
01/02/2006 03:40,1,2,1,3,40,99600,0,0,0,0,0,0
01/02/2006 03:50,1,2,1,3,50,100200,0,0,0,0,0,0
01/02/2006 04:00,1,2,1,4,0,100800,0,0,0,0,0,0
01/02/2006 04:10,1,2,1,4,10,101400,0,0,0,0,0,0
01/02/2006 04:20,1,2,1,4,20,102000,0,0,0,0,0,0
01/02/2006 04:30,1,2,1,4,30,102600,0,0,0,0,0,0
01/02/2006 04:40,1,2,1,4,40,103200,0,0,0,0,0,0
01/02/2006 04:50,1,2,1,4,50,103800,0,0,0,0,0,0
01/02/2006 05:00,1,2,1,5,0,104400,0,0,0,0,0,0
01/02/2006 05:10,1,2,1,5,10,105000,0,0,0,0,0,0
01/02/2006 05:20,1,2,1,5,20,105600,0,0,0,0,0,0
01/02/2006 05:30,1,2,1,5,30,106200,0,0,0,0,0,0
01/02/2006 05:40,1,2,1,5,40,106800,0,0,0,0,0,0
01/02/2006 05:50,1,2,1,5,50,107400,0,0,0,0,0,0
01/02/2006 06:00,1,2,1,6,0,108000,0,0,0,0,0,0
01/02/2006 06:10,1,2,1,6,10,108600,0,0,0,0,0,0
01/02/2006 06:20,1,2,1,6,20,109200,0,0,0,0,0,0
01/02/2006 06:30,1,2,1,6,30,109800,0,0,0,0,0,0
01/02/2006 06:40,1,2,1,6,40,110400,0,0,0,0,0,0
01/02/2006 06:50,1,2,1,6,50,111000,0,0,0,0,0,0
01/02/2006 07:00,1,2,1,7,0,111600,0,0,0,0,0,0
01/02/2006 07:10,1,2,1,7,10,112200,0,0,0,0,0,0
01/02/2006 07:20,1,2,1,7,20,112800,0,0,0,0,0,0
01/02/2006 07:30,1,2,1,7,30,113400,0,0,0,0,0,0
01/02/2006 07:40,1,2,1,7,40,114000,0,0,0,0,0,0
01/02/2006 07:50,1,2,1,7,50,114600,0,0,0,0,0,0
01/02/2006 08:00,1,2,1,8,0,115200,0,0,0,0,0,0
01/02/2006 08:10,1,2,1,8,10,115800,0,0,0,0,0,0
01/02/2006 08:20,1,2,1,8,20,116400,0,0,0,0,0,0
01/02/2006 08:30,1,2,1,8,30,117000,0,0,0,0,0,0
01/02/2006 08:40,1,2,1,8,40,117600,0,0,0,0,0,0
01/02/2006 08:50,1,2,1,8,50,118200,0,0,0,0,0,0
01/02/2006 09:00,1,2,1,9,0,118800,0,0,0,0,0,0
01/02/2006 09:10,1,2,1,9,10,119400,0,0,0,0,0,0
01/02/2006 09:20,1,2,1,9,20,120000,0,0,0,0,0,0
01/02/2006 09:30,1,2,1,9,30,120600,0,0,0,0,0,0
01/02/2006 09:40,1,2,1,9,40,121200,0,0,0,0,0,0
01/02/2006 09:50,1,2,1,9,50,121800,0,0,0,0,0,0
01/02/2006 10:00,1,2,1,10,0,122400,0,0,0,0,0,0
01/02/2006 10:10,1,2,1,10,10,123000,0,0,0,0,0,0
01/02/2006 10:20,1,2,1,10,20,123600,0,0,0,0,0,0
01/02/2006 10:30,1,2,1,10,30,124200,0,0,0,0,0,0
01/02/2006 10:40,1,2,1,10,40,124800,0,0,0,0,0,0
01/02/2006 10:50,1,2,1,10,50,125400,0,0,0,0,0,0
01/02/2006 11:00,1,2,1,11,0,126000,0,0,0,0,0,0
01/02/2006 11:10,1,2,1,11,10,126600,0,0,0,0,0,0
01/02/2006 11:20,1,2,1,11,20,127200,0,0,0,0,0,0
01/02/2006 11:30,1,2,1,11,30,127800,0,0,0,0,0,0
01/02/2006 11:40,1,2,1,11,40,128400,0,0,0,0,0,0
01/02/2006 11:50,1,2,1,11,50,129000,0,0,0,0,0,0
01/02/2006 12:00,1,2,1,12,0,129600,0,0,0,0,0,0
01/02/2006 12:10,1,2,1,12,10,130200,0,0,0,0,0,0
01/02/2006 12:20,1,2,1,12,20,130800,0,0,0,0,0,0
01/02/2006 12:30,1,2,1,12,30,131400,0,0,0,0,0,0
01/02/2006 12:40,1,2,1,12,40,132000,0,0,0,0,0,0
01/02/2006 12:50,1,2,1,12,50,132600,0,0,0,0,0,0
01/02/2006 13:00,1,2,1,13,0,133200,0,0,0,0,0,0
01/02/2006 13:10,1,2,1,13,10,133800,0,0,0,0,0,0
01/02/2006 13:20,1,2,1,13,20,134400,0,0,0,0,0,0
01/02/2006 13:30,1,2,1,13,30,135000,0,0,0,0,0,0
01/02/2006 13:40,1,2,1,13,40,135600,0,0,0,0,0,0
01/02/2006 13:50,1,2,1,13,50,136200,0,0,0,0,0,0
01/02/2006 14:00,1,2,1,14,0,136800,0,0,0,0,0,0
01/02/2006 14:10,1,2,1,14,10,137400,0,0,0,0,0,0
01/02/2006 14:20,1,2,1,14,20,138000,0,0,0,0,0,0
